,Title,Description,Category,Datetime,Link
0,Thủ tướng: Cần cổ vũ nhân dân làm giàu chính đáng,"Mặt trận Tổ quốc VN cần cổ vũ nhân dân hăng say lao động, đổi mới, sáng tạo, tự vươn lên thoát nghèo và làm giàu chính đáng.",Chính trị,"Thứ sáu, 18/9/2020, 14:27 (GMT+7)",https://vnexpress.net/thu-tuong-can-co-vu-nhan-dan-lam-giau-chinh-dang-4163789.html
1,Gần 800 tỷ đồng xây cầu qua sông Cần Thơ,"Cầu Trần Hoàng Na dài 600 m, rộng 23 m nối quận Ninh Kiều với Cái Răng, liên kết quốc lộ 1A với các tuyến đường trung tâm, giảm ùn tắc xe cộ, khởi công sáng 18/9.",Mekong,"Thứ sáu, 18/9/2020, 12:05 (GMT+7)",https://vnexpress.net/gan-800-ty-dong-xay-cau-qua-song-can-tho-4163780.html
2,Ông Nguyễn Anh Đức điều hành HĐQT Saigon Co.op,TP HCM6/6 thành viên của HĐQT thống nhất cử ông Nguyễn Anh Đức điều hành HĐQT Saigon Co.op sau khi ông Diệp Dũng được điều động công tác khác.,Thời sự,"Thứ sáu, 18/9/2020, 11:12 (GMT+7)",https://vnexpress.net/ong-nguyen-anh-duc-dieu-hanh-hdqt-saigon-co-op-4163686.html
3,Bão đổ bộ Quảng Trị - Thừa Thiên Huế,"10h hôm nay, bão Noul đổ bộ hai tỉnh Quảng Trị, Thừa Thiên Huế với sức gió 75-90 km/h, quật đổ nhiều cây xanh, làm một người mất tích.",Thời sự,"Thứ sáu, 18/9/2020, 10:21 (GMT+7)",https://vnexpress.net/bao-do-bo-quang-tri-thua-thien-hue-4163718-tong-thuat.html
4,Miền Bắc đón không khí lạnh,"Từ đêm qua đến sáng 18/9, không khí lạnh từ phương Bắc tràn xuống miền Bắc, nhiệt độ giảm 4 độ so với sáng qua, Hà Nội còn 27, Sa Pa (Lào Cai) 16 độ C.",Thời sự,"Thứ sáu, 18/9/2020, 10:15 (GMT+7)",https://vnexpress.net/mien-bac-don-khong-khi-lanh-4163634.html
5,Cưỡng chế nhiều 'chung cư mini' ở Sài Gòn,"Khẳng định chưa bao giờ cấp phép xây dựng loại hình ""chung cư mini"", Sở Xây dựng TP HCM cam kết sẽ xử lý dứt điểm các sai phạm này trong tháng 9.",Thời sự,"Thứ sáu, 18/9/2020, 10:02 (GMT+7)",https://vnexpress.net/cuong-che-nhieu-chung-cu-mini-o-sai-gon-4163224.html
6,Lốc xoáy tốc mái hàng chục căn nhà,"Hà TĩnhKhoảng 60 ngôi nhà tốc mái, nhiều diện tích cây trồng, hoa màu của người dân huyện Nghi Xuân đổ rạp vì lốc xoáy trước bão Noul.",Thời sự,"Thứ sáu, 18/9/2020, 09:10 (GMT+7)",https://vnexpress.net/loc-xoay-toc-mai-hang-chuc-can-nha-4163644.html
7,Bão áp sát khu vực Quảng Bình - Quảng Nam,"7h sáng 18/9, tâm bão Noul ở vùng biển Quảng Bình - Quảng Nam, sức gió mạnh nhất 100 km/h, dự báo đổ bộ trưa nay với sức gió 60-90 km/h.",Thời sự,"Thứ sáu, 18/9/2020, 08:07 (GMT+7)",https://vnexpress.net/bao-ap-sat-khu-vuc-quang-binh-quang-nam-4163549.html
8,Bão giảm cấp trước khi đổ bộ,"22h ngày 17/9, bão Noul ở quần đảo Hoàng Sa, sức gió mạnh nhất 100 km/h, dự kiến chiều 18/9 đi vào khu vực Quảng Bình - Quảng Nam, gió giảm còn 90 km/h.",Thời sự,"Thứ sáu, 18/9/2020, 00:49 (GMT+7)",https://vnexpress.net/bao-giam-cap-truoc-khi-do-bo-4163524.html
9,Người dân sơ tán trong đêm,"Đà NẵngĂn xong bữa cơm tối 17/9, sáu người trong gia đình bà Lê Thị Lá, 67 tuổi, được đưa lên ôtô chở đến nhà tránh bão đa năng.",Thời sự,"Thứ sáu, 18/9/2020, 00:10 (GMT+7)",https://vnexpress.net/nguoi-dan-so-tan-trong-dem-4163538.html
